OrderID,CustomerID,State,OrderDate,OrderSeason,OrderDayOfWeek,ProductCategory,ProductSubCategory,UnitPrice,Quantity,TotalAmount,DiscountPercent,DiscountAmount,FinalAmount,PaymentMethod,DeviceType,MembershipTier,ShippingDays,Returned,ReviewScore
ORD-010001,CUST-05677,MT,5/22/2022,Spring,Sunday,Automotive,Tools,45.21,1,45.21,0,0,45.21,Gift Card,Tablet,Gold,3,No,5
ORD-010002,CUST-07683,AZ,10/17/2024,Fall,Thursday,Grocery,Bakery,48.44,1,48.44,0,0,48.44,Apple Pay,Mobile,Bronze,5,No,5
ORD-010003,CUST-05017,VA,06-08-2024,Summer,Saturday,Automotive,Electronics,33.94,1,33.94,0,0,33.94,Debit Card,Tablet,Bronze,4,No,4
ORD-010004,CUST-04913,MO,10/24/2024,Fall,Thursday,Sports & Outdoors,Fitness Equipment,272.61,1,272.61,0,0,272.61,Buy Now Pay Later,Mobile,Gold,5,No,5
ORD-010005,CUST-04532,AZ,7/22/2023,Summer,Saturday,Electronics,Tablets,1028.51,1,1028.51,0,0,1028.51,PayPal,Desktop,Bronze,2,No,4
ORD-010006,CUST-01801,OK,7/24/2023,Summer,Monday,Grocery,Beverages,36.75,1,36.75,0,0,36.75,PayPal,Mobile,Silver,3,No,4
ORD-010007,CUST-01046,WI,12/28/2024,Winter,Saturday,Sports & Outdoors,Team Sports,71.08,1,71.08,0,0,71.08,Apple Pay,Tablet,Gold,3,No,4
ORD-010008,CUST-07323,MN,10/18/2022,Fall,Tuesday,Health & Wellness,Fitness Accessories,95.8,2,191.6,0,0,191.6,Apple Pay,Tablet,Silver,7,No,4
ORD-010009,CUST-08995,KS,06-01-2024,Summer,Saturday,Automotive,Tools,113.49,1,113.49,15,17.02,96.47,Credit Card,Mobile,Silver,3,No,5
ORD-010010,CUST-05011,MA,8/17/2023,Summer,Thursday,Books,Self-Help,23.14,1,23.14,0,0,23.14,Credit Card,Mobile,Gold,3,No,3
ORD-010011,CUST-05322,WA,11/29/2022,Fall,Tuesday,Sports & Outdoors,Camping Gear,475.28,1,475.28,15,71.29,403.99,PayPal,Desktop,Platinum,5,No,3
ORD-010012,CUST-06447,WY,04-08-2023,Spring,Saturday,Clothing,Tops,121.65,1,121.65,0,0,121.65,PayPal,Mobile,Platinum,5,No,4
ORD-010013,CUST-05400,KS,8/21/2022,Summer,Sunday,Electronics,Smartphones,174.46,1,174.46,0,0,174.46,Buy Now Pay Later,Mobile,Silver,4,No,4
ORD-010014,CUST-08979,WI,2/24/2023,Winter,Friday,Clothing,Footwear,185.07,1,185.07,0,0,185.07,Buy Now Pay Later,Mobile,Bronze,4,No,5
ORD-010015,CUST-01742,MD,12-06-2022,Winter,Tuesday,Health & Wellness,Vitamins,125.38,1,125.38,10,12.54,112.84,PayPal,Mobile,Platinum,1,No,4
ORD-010016,CUST-04990,CA,05-03-2022,Spring,Tuesday,Sports & Outdoors,Cycling,321.18,1,321.18,20,64.24,256.94,Gift Card,Desktop,Platinum,4,No,3
ORD-010017,CUST-01951,SD,3/14/2022,Spring,Monday,Clothing,Footwear,71.07,1,71.07,15,10.66,60.41,Debit Card,Mobile,Silver,7,Yes,4
ORD-010018,CUST-08464,DE,2/27/2023,Winter,Monday,Toys & Games,Educational,103.18,1,103.18,0,0,103.18,Gift Card,Mobile,Bronze,3,No,2
ORD-010019,CUST-06300,UT,1/15/2024,Winter,Monday,Beauty & Personal Care,Skincare,88.68,1,88.68,0,0,88.68,PayPal,Desktop,Silver,3,No,5
ORD-010020,CUST-05931,ND,3/31/2022,Spring,Thursday,Clothing,Footwear,76.65,1,76.65,0,0,76.65,PayPal,Mobile,Silver,5,No,5
ORD-010021,CUST-03073,NH,7/27/2023,Summer,Thursday,Sports & Outdoors,Camping Gear,34.79,1,34.79,0,0,34.79,Google Pay,Desktop,Platinum,2,No,5
ORD-010022,CUST-06921,NE,09-11-2022,Fall,Sunday,Health & Wellness,Mental Wellness,79.43,1,79.43,15,11.91,67.52,Credit Card,Tablet,Gold,4,No,5
ORD-010023,CUST-04172,VT,08-03-2024,Summer,Saturday,Grocery,Bakery,25.13,1,25.13,10,2.51,22.62,Apple Pay,Tablet,Silver,2,No,3
ORD-010024,CUST-04618,AR,1/21/2023,Winter,Saturday,Beauty & Personal Care,Makeup,11.43,1,11.43,0,0,11.43,Credit Card,Tablet,Platinum,2,No,4
ORD-010025,CUST-04406,WY,02-01-2023,Winter,Wednesday,Beauty & Personal Care,Haircare,66.7,2,133.4,5,6.67,126.73,Buy Now Pay Later,Tablet,Silver,2,No,4
ORD-010026,CUST-04517,OK,11/28/2022,Fall,Monday,Health & Wellness,Supplements,118.07,1,118.07,0,0,118.07,Apple Pay,Desktop,Silver,6,Yes,4
ORD-010027,CUST-02962,KS,9/14/2022,Fall,Wednesday,Sports & Outdoors,Team Sports,190.28,1,190.28,0,0,190.28,Apple Pay,Mobile,Gold,1,No,2
ORD-010028,CUST-06450,ID,12/21/2024,Winter,Saturday,Sports & Outdoors,Camping Gear,414.05,3,1242.15,10,124.22,1117.93,Buy Now Pay Later,Desktop,Bronze,3,No,4
ORD-010029,CUST-05953,OR,4/29/2022,Spring,Friday,Clothing,Accessories,39.31,1,39.31,15,5.9,33.41,Credit Card,Desktop,Silver,4,No,4
ORD-010030,CUST-01669,WA,4/13/2024,Spring,Saturday,Electronics,Cameras,1033.88,1,1033.88,0,0,1033.88,PayPal,Mobile,Gold,2,No,4
ORD-010031,CUST-02069,SD,1/28/2023,Winter,Saturday,Clothing,Tops,30,1,30,0,0,30,PayPal,Tablet,Silver,5,No,3
ORD-010032,CUST-04124,NY,12-03-2024,Winter,Tuesday,Books,Science,24.95,1,24.95,0,0,24.95,PayPal,Tablet,Silver,4,No,5
ORD-010033,CUST-06099,RI,05-05-2023,Spring,Friday,Clothing,Bottoms,95.55,1,95.55,15,14.33,81.22,Apple Pay,Tablet,Gold,3,No,4
ORD-010034,CUST-04093,NJ,1/22/2024,Winter,Monday,Home & Kitchen,Decor,226.97,1,226.97,0,0,226.97,Debit Card,Desktop,Gold,2,No,5
ORD-010035,CUST-07957,ND,06-10-2024,Summer,Monday,Clothing,Tops,171.34,5,856.7,0,0,856.7,Gift Card,Mobile,Silver,3,No,4
ORD-010036,CUST-05080,VA,11/20/2023,Fall,Monday,Clothing,Footwear,107.72,2,215.44,0,0,215.44,Debit Card,Desktop,Silver,3,No,4
ORD-010037,CUST-04791,NY,4/30/2022,Spring,Saturday,Home & Kitchen,Appliances,269.9,1,269.9,0,0,269.9,Credit Card,Mobile,Bronze,6,No,4
ORD-010038,CUST-05558,VT,7/18/2022,Summer,Monday,Home & Kitchen,Cookware,18.9,1,18.9,10,1.89,17.01,Buy Now Pay Later,Desktop,Platinum,1,No,5
ORD-010039,CUST-08921,GA,11/30/2024,Fall,Saturday,Sports & Outdoors,Water Sports,469.51,1,469.51,15,70.43,399.08,Gift Card,Tablet,Gold,3,No,5
ORD-010040,CUST-08750,OR,6/14/2022,Summer,Tuesday,Sports & Outdoors,Cycling,46.76,1,46.76,0,0,46.76,PayPal,Mobile,Platinum,3,No,4
ORD-010041,CUST-02310,HI,8/25/2022,Summer,Thursday,Home & Kitchen,Decor,49.63,1,49.63,0,0,49.63,Google Pay,Mobile,Bronze,2,No,4
ORD-010042,CUST-04826,MD,01-10-2025,Winter,Friday,Clothing,Accessories,116.47,1,116.47,0,0,116.47,Credit Card,Mobile,Bronze,3,No,5
